Northern Hemisphere Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
191301,-0.48
191302,-0.62
191303,-0.55
191304,-0.46
191305,-0.50
191306,-0.48
191307,-0.47
191308,-0.41
191309,-0.40
191310,-0.40
191311,-0.14
191312,0.06
191401,0.26
191402,-0.16
191403,-0.27
191404,-0.35
191405,-0.12
191406,-0.21
191407,-0.34
191408,-0.31
191409,-0.29
191410,-0.16
191411,-0.21
191412,-0.17
191501,-0.17
191502,-0.06
191503,-0.17
191504,-0.02
191505,-0.06
191506,-0.14
191507,-0.04
191508,-0.09
191509,-0.18
191510,-0.28
191511,0.04
191512,-0.06
191601,-0.11
191602,-0.16
191603,-0.41
191604,-0.29
191605,-0.36
191606,-0.40
191607,-0.30
191608,-0.38
191609,-0.44
191610,-0.34
191611,-0.47
191612,-0.79
191701,-0.50
191702,-0.56
191703,-0.70
191704,-0.51
191705,-0.64
191706,-0.44
191707,-0.26
191708,-0.29
191709,-0.23
191710,-0.47
191711,-0.17
191712,-0.78
191801,-0.37
191802,-0.44
191803,-0.32
191804,-0.51
191805,-0.52
191806,-0.42
191807,-0.35
191808,-0.37
191809,-0.28
191810,-0.17
191811,-0.29
191812,-0.56
191901,-0.43
191902,-0.18
191903,-0.35
191904,-0.11
191905,-0.42
191906,-0.36
191907,-0.26
191908,-0.30
191909,-0.23
191910,-0.25
191911,-0.49
191912,-0.52
192001,-0.20
192002,-0.41
192003,-0.08
192004,-0.23
192005,-0.16
192006,-0.26
192007,-0.21
192008,-0.33
192009,-0.32
192010,-0.37
192011,-0.41
192012,-0.63
192101,0.07
192102,-0.15
192103,-0.15
192104,-0.13
192105,-0.22
192106,-0.13
192107,-0.08
192108,-0.28
192109,-0.13
192110,-0.05
192111,-0.21
192112,-0.03
192201,-0.38
192202,-0.41
192203,-0.09
192204,-0.12
192205,-0.22
192206,-0.17
192207,-0.23
192208,-0.31
192209,-0.38
192210,-0.30
192211,-0.14
192212,-0.19
192301,-0.17
192302,-0.58
192303,-0.42
192304,-0.54
192305,-0.32
192306,-0.22
192307,-0.28
192308,-0.34
192309,-0.23
192310,-0.09
192311,0.09
192312,0.06
192401,-0.30
192402,-0.18
192403,-0.03
192404,-0.19
192405,-0.10
192406,-0.14
192407,-0.18
192408,-0.22
192409,-0.20
192410,-0.24
192411,-0.09
192412,-0.37
192501,-0.37
192502,-0.42
192503,-0.19
192504,-0.10
192505,-0.13
192506,-0.20
192507,-0.17
192508,-0.15
192509,-0.05
192510,-0.14
192511,0.13
192512,0.26
192601,0.33
192602,0.16
192603,0.17
192604,-0.18
192605,-0.09
192606,-0.08
192607,-0.14
192608,-0.07
192609,-0.04
192610,0.02
192611,0.07
192612,-0.19
192701,-0.29
192702,-0.20
192703,-0.36
192704,-0.24
192705,-0.16
192706,-0.13
192707,-0.04
192708,-0.12
192709,0.03
192710,0.17
192711,0.04
192712,-0.31
192801,0.08
192802,-0.11
192803,-0.30
192804,-0.32
192805,-0.14
192806,-0.27
192807,-0.12
192808,-0.19
192809,-0.12
192810,-0.12
192811,-0.03
192812,-0.13
192901,-0.64
192902,-0.80
192903,-0.20
192904,-0.29
192905,-0.24
192906,-0.36
192907,-0.30
192908,-0.17
192909,-0.17
192910,-0.05
192911,-0.06
192912,-0.69
193001,-0.27
193002,-0.17
193003,0.10
193004,-0.18
193005,-0.17
193006,-0.12
193007,-0.02
193008,0.02
193009,-0.02
